,Model 1,Model 2,EC Level,Original p-value,Corrected p-value
0,BLASTp,DNN ESM1b,1,4.10838547549056e-06,7.455958825890277e-06
2,BLASTp,DNN ESM1b,3,6.093181817046637e-09,1.231199624887774e-08
9,BLASTp,DNN ESM2 3B,3,2.3609227242240843e-05,3.95505003374291e-05
15,BLASTp,DNN ProtBERT,2,2.205769110715646e-06,4.197385880585113e-06
16,BLASTp,DNN ProtBERT,3,5.765281777703876e-10,1.2150486327203867e-09
21,BLASTp,D-SPACE EC,1,1.5570586811620647e-81,8.975985338463668e-81
22,BLASTp,D-SPACE EC,2,8.145999591483846e-110,1.3305132666090283e-108
23,BLASTp,D-SPACE EC,3,1.366808222556111e-88,9.567657557892777e-88
24,BLASTp,D-SPACE EC,4,3.904069028091545e-37,1.5941615198040476e-36
25,BLASTp,D-SPACE EC,5,4.8055004850773195e-20,1.290243965856376e-19
26,BLASTp,D-SPACE EC,6,6.465469174228345e-21,1.9495876279211626e-20
27,BLASTp,D-SPACE EC,7,2.6026076788230615e-05,4.286647941590925e-05
28,BLASTp,DeepEC CNN3,1,5.769190117815384e-97,6.6515368417165604e-96
29,BLASTp,DeepEC CNN3,2,1.1032423388273236e-121,3.603924973502591e-120
30,BLASTp,DeepEC CNN3,3,6.639473175792862e-92,6.196841630740005e-91
31,BLASTp,DeepEC CNN3,4,5.805087042083696e-42,2.844492650621011e-41
32,BLASTp,DeepEC CNN3,5,2.2673324753590996e-22,7.935663663756849e-22
33,BLASTp,DeepEC CNN3,6,4.0959896321527474e-20,1.1307238984534345e-19
34,BLASTp,DeepEC CNN3,7,2.5630832507250074e-06,4.784422068020014e-06
37,BLASTp,Models ensemble,3,0.00035059511507402424,0.0005453701790040377
43,BLASTp,Models + BLASTp,2,8.122541085000684e-06,1.4472891387819402e-05
49,DNN ESM1b,DNN ESM2 3B,1,0.0005705152764964274,0.0008804802692385809
51,DNN ESM1b,DNN ESM2 3B,3,0.0003502809377291355,0.0005453701790040377
57,DNN ESM1b,DNN ProtBERT,2,2.256839436541564e-05,3.8132804272598844e-05
63,DNN ESM1b,D-SPACE EC,1,4.242930852914129e-80,2.3100401310310254e-79
64,DNN ESM1b,D-SPACE EC,2,1.719129967068458e-113,3.743883039393531e-112
65,DNN ESM1b,D-SPACE EC,3,6.558169281691455e-87,4.146455416811372e-86
66,DNN ESM1b,D-SPACE EC,4,1.638619151735824e-36,6.42338707480443e-36
67,DNN ESM1b,D-SPACE EC,5,1.436579269205187e-18,3.519619209552708e-18
68,DNN ESM1b,D-SPACE EC,6,6.985576997604854e-21,2.0745046841371992e-20
69,DNN ESM1b,D-SPACE EC,7,5.856266144553143e-06,1.0530533617728588e-05
70,DNN ESM1b,DeepEC CNN3,1,1.8898089456412074e-96,2.057791963031537e-95
71,DNN ESM1b,DeepEC CNN3,2,7.485934982369175e-123,4.890810855147861e-121
72,DNN ESM1b,DeepEC CNN3,3,1.5274971671316024e-91,1.247456019824142e-90
73,DNN ESM1b,DeepEC CNN3,4,1.537163094620317e-41,7.173427774894813e-41
74,DNN ESM1b,DeepEC CNN3,5,7.389126591512112e-22,2.4137813532272898e-21
75,DNN ESM1b,DeepEC CNN3,6,8.746847984597943e-20,2.2557660591857856e-19
76,DNN ESM1b,DeepEC CNN3,7,1.919722783767457e-06,3.6911817309903466e-06
77,DNN ESM1b,Models ensemble,1,1.6084214698033661e-10,3.426637044363693e-10
78,DNN ESM1b,Models ensemble,2,9.969040861334631e-08,1.9938081722669262e-07
79,DNN ESM1b,Models ensemble,3,1.350835229025844e-07,2.6743808574653075e-07
84,DNN ESM1b,Models + BLASTp,1,2.073192947137231e-26,7.666902219601835e-26
85,DNN ESM1b,Models + BLASTp,2,2.5557895807574374e-23,9.276569589415885e-23
86,DNN ESM1b,Models + BLASTp,3,8.949859587526723e-22,2.8756925887790783e-21
87,DNN ESM1b,Models + BLASTp,4,3.5331753739256266e-09,7.213566388431488e-09
88,DNN ESM1b,Models + BLASTp,5,7.603138738681203e-05,0.0001201786445791545
89,DNN ESM1b,Models + BLASTp,6,4.5917675944676785e-05,7.437904533187314e-05
92,DNN ESM2 3B,DNN ProtBERT,2,5.951546569907551e-12,1.310677671575146e-11
93,DNN ESM2 3B,DNN ProtBERT,3,2.5758942139040113e-05,4.278603948518527e-05
98,DNN ESM2 3B,D-SPACE EC,1,4.201106875454092e-81,2.3526198502542914e-80
99,DNN ESM2 3B,D-SPACE EC,2,2.613090391981747e-113,5.121657168284224e-112
100,DNN ESM2 3B,D-SPACE EC,3,5.378575530785836e-89,3.904447422348237e-88
101,DNN ESM2 3B,D-SPACE EC,4,1.3741162940949777e-37,5.730357311545013e-37
102,DNN ESM2 3B,D-SPACE EC,5,2.290876389628146e-18,5.543355214408847e-18
103,DNN ESM2 3B,D-SPACE EC,6,8.974208726966191e-21,2.6252909111721992e-20
104,DNN ESM2 3B,D-SPACE EC,7,1.3705630970686292e-05,2.3564067282934327e-05
105,DNN ESM2 3B,DeepEC CNN3,1,2.1581754503094073e-97,2.8200159217376254e-96
106,DNN ESM2 3B,DeepEC CNN3,2,2.191039346670728e-122,8.588874238949253e-121
107,DNN ESM2 3B,DeepEC CNN3,3,1.0105838424140817e-91,8.611931874485218e-91
108,DNN ESM2 3B,DeepEC CNN3,4,5.0559700478271763e-42,2.5409490496772477e-41
109,DNN ESM2 3B,DeepEC CNN3,5,4.253322160140082e-22,1.412968039639756e-21
110,DNN ESM2 3B,DeepEC CNN3,6,5.984633624818619e-20,1.563984253952599e-19
111,DNN ESM2 3B,DeepEC CNN3,7,1.9209211049031396e-06,3.6911817309903466e-06
119,DNN ESM2 3B,Models + BLASTp,1,3.421501209653118e-14,7.983502822523943e-14
120,DNN ESM2 3B,Models + BLASTp,2,3.2533288607446225e-13,7.414563450069139e-13
121,DNN ESM2 3B,Models + BLASTp,3,4.381639795087181e-11,9.437378020187774e-11
122,DNN ESM2 3B,Models + BLASTp,4,1.53856846841551e-05,2.6222558244299122e-05
123,DNN ESM2 3B,Models + BLASTp,5,4.777376053539039e-05,7.675128741751242e-05
126,DNN ProtBERT,D-SPACE EC,1,5.518783679866769e-84,3.277823034102687e-83
127,DNN ProtBERT,D-SPACE EC,2,3.6798866372520134e-112,6.5568889172854055e-111
128,DNN ProtBERT,D-SPACE EC,3,2.298069668565205e-87,1.501405516795934e-86
129,DNN ProtBERT,D-SPACE EC,4,3.57109941596711e-38,1.521598881585986e-37
130,DNN ProtBERT,D-SPACE EC,5,1.0556777557825904e-19,2.6871797419920486e-19
131,DNN ProtBERT,D-SPACE EC,6,1.360179381606955e-20,3.9205170411024e-20
132,DNN ProtBERT,D-SPACE EC,7,1.2304964058388591e-05,2.1343123499505875e-05
133,DNN ProtBERT,DeepEC CNN3,1,6.020341929532158e-98,8.428478701345022e-97
134,DNN ProtBERT,DeepEC CNN3,2,1.3912757908468402e-122,6.817251375149517e-121
135,DNN ProtBERT,DeepEC CNN3,3,6.067688235743371e-92,5.946334471028503e-91
136,DNN ProtBERT,DeepEC CNN3,4,2.328033910907406e-41,1.0611503407857013e-40
137,DNN ProtBERT,DeepEC CNN3,5,1.34169748555205e-22,4.78132194851276e-22
138,DNN ProtBERT,DeepEC CNN3,6,4.4096109100258846e-20,1.2003940810626018e-19
139,DNN ProtBERT,DeepEC CNN3,7,3.5149630812742274e-06,6.438623961960267e-06
140,DNN ProtBERT,Models ensemble,1,2.9779526989840286e-05,4.86398940834058e-05
141,DNN ProtBERT,Models ensemble,2,1.4999953106419346e-19,3.7692189857156305e-19
142,DNN ProtBERT,Models ensemble,3,3.396304592415346e-09,7.007112632772714e-09
143,DNN ProtBERT,Models ensemble,4,6.061249233649278e-05,9.658576014595597e-05
147,DNN ProtBERT,Models + BLASTp,1,9.494312697894214e-17,2.2693723033991045e-16
148,DNN ProtBERT,Models + BLASTp,2,3.452332160810396e-35,1.326778634350662e-34
149,DNN ProtBERT,Models + BLASTp,3,9.769603746348525e-22,3.0884553778779207e-21
150,DNN ProtBERT,Models + BLASTp,4,8.413250687728143e-12,1.8322190386607954e-11
154,D-SPACE EC,DeepEC CNN3,1,4.441145980226549e-43,2.3526070597956855e-42
155,D-SPACE EC,DeepEC CNN3,2,6.560852007151913e-37,2.6243408028607652e-36
156,D-SPACE EC,DeepEC CNN3,3,1.0624859446102217e-30,4.004754714300066e-30
157,D-SPACE EC,DeepEC CNN3,4,6.921100990019115e-16,1.6343804747515018e-15
158,D-SPACE EC,DeepEC CNN3,5,1.3702501411320474e-09,2.8571173155519287e-09
159,D-SPACE EC,DeepEC CNN3,6,0.0006100687907135752,0.000934167835780162
161,D-SPACE EC,Models ensemble,1,1.3556465360425234e-85,8.303335033260456e-85
162,D-SPACE EC,Models ensemble,2,5.581265546532472e-115,1.3674100589004557e-113
163,D-SPACE EC,Models ensemble,3,4.3310370513207864e-89,3.2649356233033617e-88
164,D-SPACE EC,Models ensemble,4,1.543021822292739e-38,6.720717270430596e-38
165,D-SPACE EC,Models ensemble,5,7.655290511309876e-19,1.899287266097134e-18
166,D-SPACE EC,Models ensemble,6,6.1399490686167714e-21,1.8804368702481272e-20
167,D-SPACE EC,Models ensemble,7,9.977698887788448e-06,1.7460973053629787e-05
168,D-SPACE EC,Models + BLASTp,1,3.063660883341366e-88,2.0706121832238195e-87
169,D-SPACE EC,Models + BLASTp,2,1.8296445177026594e-116,5.123004649567447e-115
170,D-SPACE EC,Models + BLASTp,3,6.752320050681853e-90,5.2938189197345725e-89
171,D-SPACE EC,Models + BLASTp,4,2.0765478879844413e-40,9.250076955567058e-40
172,D-SPACE EC,Models + BLASTp,5,2.3128063220759692e-20,6.569710711983913e-20
173,D-SPACE EC,Models + BLASTp,6,6.1402020253000065e-21,1.8804368702481272e-20
174,D-SPACE EC,Models + BLASTp,7,9.977698887788448e-06,1.7460973053629787e-05
175,DeepEC CNN3,Models ensemble,1,3.051323414371838e-97,3.737871182605502e-96
176,DeepEC CNN3,Models ensemble,2,4.351672332571475e-123,4.264638885920046e-121
177,DeepEC CNN3,Models ensemble,3,7.919325766538297e-92,7.055399319279574e-91
178,DeepEC CNN3,Models ensemble,4,7.888947209835113e-42,3.7713015929943466e-41
179,DeepEC CNN3,Models ensemble,5,3.1070010100212384e-22,1.049952065455453e-21
180,DeepEC CNN3,Models ensemble,6,5.984633624818619e-20,1.563984253952599e-19
181,DeepEC CNN3,Models ensemble,7,1.9209211049031396e-06,3.6911817309903466e-06
182,DeepEC CNN3,Models + BLASTp,1,1.535495147476645e-98,2.315054222349403e-97
183,DeepEC CNN3,Models + BLASTp,2,3.4250156510145846e-123,4.264638885920046e-121
184,DeepEC CNN3,Models + BLASTp,3,4.3979133502862856e-92,4.5367948245058527e-91
185,DeepEC CNN3,Models + BLASTp,4,3.232444785251089e-42,1.66726099449793e-41
186,DeepEC CNN3,Models + BLASTp,5,2.512240526365716e-22,8.63858145908211e-22
187,DeepEC CNN3,Models + BLASTp,6,4.095068960798344e-20,1.1307238984534345e-19
188,DeepEC CNN3,Models + BLASTp,7,2.3534209951215346e-06,4.4352934138828915e-06
189,Models ensemble,Models + BLASTp,1,9.510519730885165e-13,2.1182521218789686e-12
190,Models ensemble,Models + BLASTp,2,2.30332421418531e-13,5.311194658592008e-13
191,Models ensemble,Models + BLASTp,3,5.789278377942066e-13,1.3042512207777528e-12
192,Models ensemble,Models + BLASTp,4,3.4975484031161412e-06,6.438623961960267e-06
